
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

This is Ipopt version 3.12.8, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:     7513
Number of nonzeros in inequality constraint Jacobian.:      300
Number of nonzeros in Lagrangian Hessian.............:     5300

Total number of variables............................:     1708
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      300
                     variables with only upper bounds:        0
Total number of equality constraints.................:     1413
Total number of inequality constraints...............:      100
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      100

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0 -2.4432449e+02 1.03e+07 2.00e+08   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1 -2.4934866e+02 4.91e+08 2.23e+17   4.0 4.20e+06   6.0 1.00e+00 1.32e-01h  1
   2 -2.4937597e+02 4.91e+08 5.42e+18   6.0 3.86e+06  11.8 1.63e-02 5.63e-04h  1
   3 -2.5751324e+02 6.66e+08 1.74e+23   6.0 4.26e+06  13.2 1.00e+00 2.89e-01f  1
MUMPS returned INFO(1) = -9 and requires more memory, reallocating.  Attempt 1
  Increasing icntl[13] from 1000 to 2000.
MUMPS returned INFO(1) = -9 and requires more memory, reallocating.  Attempt 2
  Increasing icntl[13] from 2000 to 4000.
MUMPS returned INFO(1) = -9 and requires more memory, reallocating.  Attempt 3
  Increasing icntl[13] from 4000 to 8000.
WARNING: Problem in step computation; switching to emergency mode.
  40r-1.0712843e+02 3.98e+06 3.40e+05   3.5 2.54e+01   3.5 1.00e+00 9.00e-01f  1
  41r-1.0712876e+02 3.63e+06 1.32e+06   2.3 2.98e+00   5.7 9.93e-01 4.17e-02h  1
  42r-1.0713051e+02 3.07e+06 3.41e+06   0.9 3.03e+00   6.2 1.00e+00 2.24e-01h  1
  43r-1.0713197e+02 3.07e+06 6.49e+06  -0.6 2.36e+00   6.6 1.00e+00 2.17e-01h  1
  44r-1.0713573e+02 3.07e+06 2.60e+06  -1.4 1.85e+00   6.1 1.00e+00 6.89e-01h  1
  45r-1.0713678e+02 3.07e+06 3.40e+06   0.7 5.57e-01   6.5 1.00e+00 6.01e-01h  1
  46r-1.0713694e+02 3.07e+06 2.22e+06   0.4 2.94e-01   7.0 1.00e+00 2.73e-01h  1
  47r-1.0713695e+02 3.07e+06 2.26e+06   1.3 2.26e-01   7.4 1.00e+00 1.83e-02h  1
  48r-1.0713701e+02 3.07e+06 3.76e+06   1.1 2.22e-01   6.9 1.00e+00 1.25e-01f  4
  49r-1.0713707e+02 3.07e+06 2.91e+06   1.0 2.46e-01   7.3 6.50e-01 1.46e-01h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50r-1.0713708e+02 3.07e+06 2.86e+06  -0.5 2.30e-01   6.9 1.00e+00 1.55e-02h  1
  51r-1.0713710e+02 3.07e+06 5.17e+06  -2.3 2.26e-01   7.3 1.00e+00 5.52e-02h  2
  52r-1.0713711e+02 3.07e+06 3.59e+06   1.3 2.26e-01   6.8 9.30e-01 3.71e-02f  2
  53r-1.0713735e+02 4.50e+06 1.86e+07   3.1 3.12e-01   7.2 1.10e-01 1.00e+00f  1
  54r-1.0713734e+02 3.07e+06 9.07e+06   2.2 4.39e-01   6.8 4.16e-01 5.73e-01h  1
  55r-1.0713735e+02 4.49e+06 9.20e+06   3.2 6.10e-01   6.3 9.36e-01 1.00e+00f  1
  56r-1.0713721e+02 4.47e+06 1.64e+06   3.1 4.38e-01   5.8 8.25e-01 1.00e+00f  1
  57r-1.0713726e+02 4.47e+06 1.25e+05   3.1 4.37e-01   5.3 9.73e-01 1.00e+00f  1
  58r-1.0713725e+02 4.45e+06 4.49e+04   3.1 4.36e-01   4.9 1.00e+00 1.00e+00f  1
  59r-1.0713737e+02 4.44e+06 1.05e+05   2.4 4.35e-01   5.3 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60r-1.0713721e+02 4.43e+06 3.39e+04   2.4 4.34e-01   4.8 1.00e+00 1.00e+00f  1
  61r-1.0713746e+02 4.42e+06 1.14e+04   1.1 4.33e-01   4.3 1.00e+00 1.00e+00f  1
  62r-1.0713731e+02 3.07e+06 4.61e+03   0.1 4.32e-01   3.9 1.00e+00 7.88e-01f  1
  63r-1.0713733e+02 3.07e+06 3.84e+03  -1.2 5.07e-01   3.4 1.00e+00 2.01e-01f  1
  64r-1.0713741e+02 3.07e+06 3.29e+03  -2.1 1.39e+00   2.9 1.00e+00 1.51e-01f  1
  65r-1.0713776e+02 3.07e+06 3.07e+03  -2.1 4.34e+00   2.4 1.00e+00 6.75e-02f  1
  66r-1.0713829e+02 3.07e+06 2.96e+03  -1.7 1.33e+01   1.9 1.00e+00 3.88e-02f  1
  67r-1.0713783e+02 3.07e+06 2.89e+03   1.6 4.30e+01   1.5 1.00e+00 2.48e-02f  1
  68r-1.0712569e+02 3.07e+06 2.83e+03   2.1 1.20e+02   1.0 8.21e-01 2.39e-02f  1
  69r-1.0712572e+02 3.07e+06 1.41e+04   1.3 2.97e-01   5.0 9.84e-01 1.06e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70r-1.0712571e+02 3.07e+06 1.46e+04  -0.2 5.53e-01   4.6 1.00e+00 1.44e-01f  1
  71r-1.0712569e+02 3.07e+06 5.84e+03  -1.4 6.99e-01   4.1 1.00e+00 1.84e-01f  1
  72r-1.0712523e+02 3.07e+06 7.36e+04  -1.6 5.63e-01   3.6 1.00e+00 2.90e-01f  1
  73r-1.0712437e+02 3.07e+06 3.93e+06   2.3 5.79e-01   5.8 1.18e-02 1.00e+00f  1
  74r-1.0712391e+02 3.07e+06 5.19e+06   0.8 2.97e-01   7.2 5.56e-01 8.65e-01f  1
  75r-1.0712391e+02 3.07e+06 5.18e+06   0.8 2.56e-01   6.7 7.99e-01 4.24e-03h  1
  76r-1.0712440e+02 3.07e+06 3.21e+06   0.8 3.30e-01   6.2 1.00e+00 1.00e+00f  1
  77r-1.0712397e+02 3.07e+06 1.65e+05   0.8 2.96e-01   5.7 1.00e+00 1.00e+00f  1
