
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

This is Ipopt version 3.12.8, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:     7513
Number of nonzeros in inequality constraint Jacobian.:      300
Number of nonzeros in Lagrangian Hessian.............:     5300

Total number of variables............................:     1708
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      300
                     variables with only upper bounds:        0
Total number of equality constraints.................:     1413
Total number of inequality constraints...............:      100
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      100

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0 -2.4432449e+02 1.03e+07 2.00e+08   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1 -2.4934866e+02 4.91e+08 2.23e+17   4.0 4.20e+06   6.0 1.00e+00 1.32e-01h  1
   2 -2.4937597e+02 4.91e+08 5.42e+18   6.0 3.86e+06  11.8 1.63e-02 5.63e-04h  1
   3 -2.5751324e+02 6.66e+08 1.74e+23   6.0 4.26e+06  13.2 1.00e+00 2.89e-01f  1
MUMPS returned INFO(1) = -9 and requires more memory, reallocating.  Attempt 1
  Increasing icntl[13] from 1000 to 2000.
MUMPS returned INFO(1) = -9 and requires more memory, reallocating.  Attempt 2
  Increasing icntl[13] from 2000 to 4000.
MUMPS returned INFO(1) = -9 and requires more memory, reallocating.  Attempt 3
  Increasing icntl[13] from 4000 to 8000.
WARNING: Problem in step computation; switching to emergency mode.
 182r-1.0711420e+02 3.07e+06 3.67e+04   1.2 1.82e-01   5.3 1.00e+00 1.00e+00f  1
 183r-1.0711446e+02 3.07e+06 1.22e+04   1.2 1.82e-01   4.8 1.00e+00 1.00e+00f  1
 184r-1.0711421e+02 3.07e+06 4.07e+03   1.2 1.81e-01   4.3 1.00e+00 1.00e+00f  1
 185r-1.0711448e+02 3.07e+06 8.63e+04   1.2 1.81e-01   5.7 1.00e+00 1.00e+00f  1
 186r-1.0711425e+02 3.07e+06 2.88e+04   1.2 1.81e-01   5.2 1.00e+00 1.00e+00f  1
 187r-1.0711450e+02 3.07e+06 7.64e+04   1.2 1.80e-01   5.6 1.00e+00 1.00e+00f  1
 188r-1.0711426e+02 3.07e+06 2.55e+04   1.2 1.80e-01   5.1 1.00e+00 1.00e+00f  1
 189r-1.0711450e+02 3.07e+06 6.77e+04   1.2 1.79e-01   5.6 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190r-1.0711424e+02 3.07e+06 2.26e+04   1.2 1.79e-01   5.1 1.00e+00 1.00e+00f  1
 191r-1.0711447e+02 3.07e+06 6.00e+04   1.2 1.79e-01   5.5 1.00e+00 1.00e+00f  1
 192r-1.0711420e+02 3.07e+06 2.00e+04   1.2 1.78e-01   5.0 1.00e+00 1.00e+00f  1
 193r-1.0711442e+02 3.07e+06 5.31e+04   1.2 1.78e-01   5.5 1.00e+00 1.00e+00f  1
 194r-1.0711411e+02 3.07e+06 1.77e+04   1.2 1.78e-01   5.0 1.00e+00 1.00e+00f  1
 195r-1.0711432e+02 3.07e+06 4.70e+04   1.2 1.77e-01   5.4 1.00e+00 1.00e+00f  1
 196r-1.0711399e+02 3.07e+06 1.57e+04   1.2 1.77e-01   4.9 1.00e+00 1.00e+00f  1
 197r-1.0711420e+02 3.07e+06 4.16e+04   1.2 1.76e-01   5.4 1.00e+00 1.00e+00f  1
 198r-1.0711384e+02 3.07e+06 1.39e+04   1.2 1.76e-01   4.9 1.00e+00 1.00e+00f  1
 199r-1.0711371e+02 3.07e+06 4.79e+03   1.2 1.75e-01   4.4 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200r-1.0711345e+02 3.07e+06 9.61e+04   1.0 1.75e-01   5.7 9.98e-01 9.86e-01f  1
 201r-1.0711369e+02 3.07e+06 3.21e+04   1.3 1.72e-01   5.3 1.00e+00 1.00e+00f  1
 202r-1.0711326e+02 3.07e+06 1.09e+04   1.2 1.74e-01   4.8 1.00e+00 1.00e+00f  1
 203r-1.0711317e+02 3.07e+06 4.32e+03  -0.4 1.73e-01   4.3 1.00e+00 9.21e-01f  1
 204r-1.0711303e+02 3.07e+06 3.51e+04   0.9 1.59e-01   5.6 1.00e+00 4.71e-01f  1
 205r-1.0711302e+02 3.07e+06 3.22e+04   1.5 2.34e-01   5.2 1.00e+00 1.32e-01f  1
 206r-1.0711276e+02 3.07e+06 1.30e+05  -0.0 2.18e-01   4.7 1.00e+00 1.00e+00f  1
 207r-1.0711204e+02 3.07e+06 4.44e+04   1.7 3.32e-01   4.2 7.83e-01 1.00e+00f  1
 208r-1.0711197e+02 3.07e+06 8.71e+06   1.6 1.67e-01   8.3 1.00e+00 2.93e-01h  1
 209r-1.0711197e+02 3.07e+06 1.35e+07   1.6 2.80e-01   7.8 1.00e+00 9.14e-04h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 210r-1.0711198e+02 3.07e+06 4.20e+07   1.6 3.22e-01   7.3 1.00e+00 5.00e-01h  2
 211r-1.0711177e+02 3.07e+06 1.28e+07   3.6 1.81e-01   6.8 8.34e-01 1.00e+00f  1
 212r-1.0711178e+02 3.07e+06 1.30e+07   3.6 1.66e-01   9.1 1.00e+00 3.52e-02h  1
 213r-1.0711208e+02 3.07e+06 1.52e+08   2.9 1.60e-01   8.6 1.00e+00 1.00e+00f  1
 214r-1.0711172e+02 3.07e+06 2.15e+07   2.9 1.66e-01   8.1 1.00e+00 1.00e+00f  1
 215r-1.0711191e+02 3.07e+06 7.79e+06   2.9 1.65e-01   7.6 1.00e+00 1.00e+00f  1
 216r-1.0711172e+02 3.07e+06 2.30e+06   2.9 1.65e-01   7.1 1.00e+00 1.00e+00f  1
 217r-1.0711190e+02 3.07e+06 6.10e+06   2.9 1.65e-01   7.6 1.00e+00 1.00e+00f  1
 218r-1.0711170e+02 3.07e+06 2.03e+06   2.9 1.65e-01   7.1 1.00e+00 1.00e+00f  1
 219r-1.0711189e+02 3.07e+06 5.40e+06   2.9 1.64e-01   7.5 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 220r-1.0711169e+02 3.07e+06 1.80e+06   2.9 1.64e-01   7.0 1.00e+00 1.00e+00f  1
 221r-1.0711185e+02 3.07e+06 5.99e+05   2.9 1.64e-01   6.6 1.00e+00 1.00e+00f  1
 222r-1.0711159e+02 3.07e+06 2.01e+05   2.9 1.63e-01   6.1 1.00e+00 1.00e+00f  1
 223r-1.0711178e+02 3.07e+06 4.23e+06   2.2 1.63e-01   7.4 1.00e+00 1.00e+00f  1
 224r-1.0711159e+02 3.07e+06 1.41e+06   2.2 1.62e-01   6.9 1.00e+00 1.00e+00f  1
 225r-1.0711177e+02 3.07e+06 4.68e+05   2.2 1.62e-01   6.5 1.00e+00 1.00e+00f  1
 226r-1.0711157e+02 3.07e+06 1.56e+05   2.2 1.62e-01   6.0 1.00e+00 1.00e+00f  1
 227r-1.0711175e+02 3.07e+06 4.15e+05   2.2 1.61e-01   6.4 1.00e+00 1.00e+00f  1
 228r-1.0711155e+02 3.07e+06 1.38e+05   2.2 1.61e-01   5.9 1.00e+00 1.00e+00f  1
 229r-1.0711172e+02 3.07e+06 3.67e+05   2.2 1.61e-01   6.4 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 230r-1.0711152e+02 3.07e+06 1.22e+05   2.2 1.60e-01   5.9 1.00e+00 1.00e+00f  1
 231r-1.0711169e+02 3.07e+06 3.25e+05   2.2 1.60e-01   6.3 1.00e+00 1.00e+00f  1
 232r-1.0711149e+02 3.07e+06 1.08e+05   2.2 1.60e-01   5.8 1.00e+00 1.00e+00f  1
 233r-1.0711166e+02 3.07e+06 2.88e+05   2.2 1.59e-01   6.3 1.00e+00 1.00e+00f  1
 234r-1.0711145e+02 3.07e+06 9.59e+04   2.2 1.59e-01   5.8 1.00e+00 1.00e+00f  1
 235r-1.0711162e+02 3.07e+06 2.54e+05   2.2 1.59e-01   6.2 1.00e+00 1.00e+00f  1
 236r-1.0711142e+02 3.07e+06 8.49e+04   2.2 1.58e-01   5.7 1.00e+00 1.00e+00f  1
 237r-1.0711158e+02 3.07e+06 2.25e+05   2.2 1.58e-01   6.2 1.00e+00 1.00e+00f  1
 238r-1.0711138e+02 3.07e+06 7.52e+04   2.2 1.58e-01   5.7 1.00e+00 1.00e+00f  1
 239r-1.0711154e+02 3.07e+06 1.99e+05   2.2 1.57e-01   6.1 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 240r-1.0711133e+02 3.07e+06 6.66e+04   2.2 1.57e-01   5.6 1.00e+00 1.00e+00f  1
 241r-1.0711150e+02 3.07e+06 1.76e+05   2.2 1.57e-01   6.1 1.00e+00 1.00e+00f  1
 242r-1.0711129e+02 3.07e+06 5.89e+04   2.2 1.56e-01   5.6 1.00e+00 1.00e+00f  1
 243r-1.0711145e+02 3.07e+06 1.56e+05   2.2 1.56e-01   6.0 1.00e+00 1.00e+00f  1
 244r-1.0711123e+02 3.07e+06 5.22e+04   2.2 1.55e-01   5.5 1.00e+00 1.00e+00f  1
 245r-1.0711139e+02 3.07e+06 1.38e+05   2.2 1.55e-01   5.9 1.00e+00 1.00e+00f  1
 246r-1.0711118e+02 3.07e+06 4.62e+04   2.2 1.55e-01   5.5 1.00e+00 1.00e+00f  1
 247r-1.0711133e+02 3.07e+06 1.22e+05   2.2 1.54e-01   5.9 1.00e+00 1.00e+00f  1
 248r-1.0711111e+02 3.07e+06 4.09e+04   2.2 1.54e-01   5.4 1.00e+00 1.00e+00f  1
 249r-1.0711127e+02 3.07e+06 1.08e+05   2.2 1.54e-01   5.8 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 250r-1.0711104e+02 3.07e+06 3.62e+04   2.2 1.53e-01   5.4 1.00e+00 1.00e+00f  1
 251r-1.0711107e+02 3.07e+06 1.21e+04   2.2 1.53e-01   4.9 1.00e+00 1.00e+00f  1
 252r-1.0711090e+02 3.07e+06 2.54e+05   1.5 1.52e-01   6.2 1.00e+00 1.00e+00f  1
 253r-1.0711107e+02 3.07e+06 8.45e+04   1.5 1.52e-01   5.7 1.00e+00 1.00e+00f  1
 254r-1.0711088e+02 3.07e+06 2.81e+04   1.5 1.52e-01   5.3 1.00e+00 1.00e+00f  1
 255r-1.0711101e+02 3.07e+06 9.36e+03   1.5 1.51e-01   4.8 1.00e+00 1.00e+00f  1
 256r-1.0711083e+02 3.07e+06 2.49e+04   1.5 1.51e-01   5.2 1.00e+00 1.00e+00f  1
 257r-1.0711095e+02 3.07e+06 8.29e+03   1.5 1.51e-01   4.7 1.00e+00 1.00e+00f  1
 258r-1.0711076e+02 3.07e+06 2.21e+04   1.5 1.50e-01   5.2 1.00e+00 1.00e+00f  1
 259r-1.0711085e+02 3.07e+06 7.35e+03   1.5 1.50e-01   4.7 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 260r-1.0711065e+02 3.07e+06 1.96e+04   1.5 1.50e-01   5.1 1.00e+00 1.00e+00f  1
 261r-1.0711070e+02 3.07e+06 6.52e+03   1.5 1.49e-01   4.6 1.00e+00 1.00e+00f  1
 262r-1.0710995e+02 3.07e+06 2.30e+03   1.5 1.48e-01   4.2 1.00e+00 1.00e+00f  1
 263r-1.0711012e+02 3.07e+06 4.56e+04   1.5 1.48e-01   5.5 1.00e+00 1.00e+00f  1
 264r-1.0710984e+02 3.07e+06 1.53e+04   1.5 1.47e-01   5.0 1.00e+00 1.00e+00f  1
 265r-1.0710999e+02 3.07e+06 4.04e+04   1.5 1.47e-01   5.4 1.00e+00 1.00e+00f  1
 266r-1.0710972e+02 3.07e+06 1.36e+04   1.5 1.47e-01   5.0 1.00e+00 1.00e+00f  1
 267r-1.0710986e+02 3.07e+06 3.57e+04   1.5 1.46e-01   5.4 1.00e+00 1.00e+00f  1
 268r-1.0710958e+02 3.07e+06 1.20e+04   1.5 1.46e-01   4.9 1.00e+00 1.00e+00f  1
 269r-1.0710941e+02 3.07e+06 4.04e+03   1.5 1.45e-01   4.4 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 270r-1.0710833e+02 3.07e+06 1.87e+03   1.5 1.50e-01   4.0 1.00e+00 9.12e-01f  1
 271r-1.0710854e+02 3.07e+06 1.27e+07   0.8 1.29e-01   8.0 7.70e-01 1.00e+00f  1
 272r-1.0710843e+02 3.07e+06 8.70e+06   0.8 1.42e-01   7.5 1.00e+00 5.01e-01f  1
 273r-1.0710843e+02 3.07e+06 8.69e+06   0.4 1.35e-01   7.0 1.00e+00 1.30e-03h  2
 274r-1.0710837e+02 3.07e+06 7.59e+06  -0.7 1.89e-01   6.6 1.00e+00 1.00e+00f  1
 275r-1.0710846e+02 3.07e+06 2.33e+06  -0.7 1.98e-01   6.1 7.36e-01 1.00e+00f  1
 276r-1.0710845e+02 3.07e+06 2.04e+06  -0.7 1.46e-01   5.6 1.00e+00 1.28e-01f  1
 277r-1.0710837e+02 3.07e+06 1.90e+05  -1.8 1.47e-01   5.1 1.00e+00 1.00e+00f  1
 278r-1.0710840e+02 3.07e+06 1.29e+05   0.6 1.41e-01   4.7 8.40e-01 3.59e-01f  1
 279r-1.0710840e+02 3.17e+06 4.18e+04   1.0 2.05e-01   5.1 7.39e-02 5.81e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 280r-1.0710837e+02 3.07e+06 5.80e+04   0.4 1.18e-01   5.5 4.73e-01 3.61e-01f  1
 281r-1.0710837e+02 3.07e+06 4.64e+04   0.4 8.08e-02   5.0 1.00e+00 2.60e-01f  1
 282r-1.0710830e+02 3.07e+06 3.64e+04   0.3 8.50e-02   4.6 1.00e+00 2.34e-01f  1
 283r-1.0710799e+02 3.07e+06 2.08e+04  -0.3 1.15e-01   4.1 1.00e+00 4.56e-01f  1
 284r-1.0710782e+02 3.07e+06 2.51e+04   1.0 9.83e-02   5.4 1.00e+00 1.00e+00f  1
 285r-1.0710794e+02 3.07e+06 7.48e+05   1.1 1.38e-01   6.7 6.78e-01 1.00e+00f  1
 286r-1.0710782e+02 3.07e+06 1.98e+06   1.1 1.38e-01   7.2 1.00e+00 1.00e+00f  1
 287r-1.0710794e+02 3.07e+06 6.62e+05   1.1 1.38e-01   6.7 1.00e+00 1.00e+00f  1
 288r-1.0710781e+02 3.07e+06 2.20e+05   1.1 1.38e-01   6.2 1.00e+00 1.00e+00f  1
 289r-1.0710793e+02 3.07e+06 5.86e+05   1.1 1.37e-01   6.6 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 290r-1.0710781e+02 3.07e+06 1.95e+05   1.1 1.37e-01   6.2 1.00e+00 1.00e+00f  1
 291r-1.0710790e+02 3.07e+06 6.50e+04   1.1 1.37e-01   5.7 1.00e+00 1.00e+00f  1
 292r-1.0710773e+02 3.07e+06 2.17e+04   1.1 1.37e-01   5.2 1.00e+00 1.00e+00f  1
 293r-1.0710784e+02 3.07e+06 4.59e+05   1.1 1.36e-01   6.5 1.00e+00 1.00e+00h  1
 294r-1.0710772e+02 3.07e+06 1.53e+05   1.1 1.36e-01   6.1 1.00e+00 1.00e+00f  1
 295r-1.0710781e+02 3.07e+06 5.09e+04   1.1 1.36e-01   5.6 1.00e+00 1.00e+00f  1
 296r-1.0710768e+02 3.07e+06 1.35e+05   1.1 1.35e-01   6.0 1.00e+00 1.00e+00f  1
 297r-1.0710777e+02 3.07e+06 4.51e+04   1.1 1.35e-01   5.5 1.00e+00 1.00e+00f  1
 298r-1.0710757e+02 3.07e+06 1.51e+04   1.1 1.35e-01   5.0 1.00e+00 1.00e+00f  1
 299r-1.0710769e+02 3.07e+06 3.19e+05   1.1 1.35e-01   6.4 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 300r-1.0710756e+02 3.07e+06 1.06e+05   1.1 1.34e-01   5.9 1.00e+00 1.00e+00f  1
 301r-1.0710764e+02 3.07e+06 3.54e+04   1.1 1.34e-01   5.4 1.00e+00 1.00e+00f  1
 302r-1.0710741e+02 3.07e+06 1.19e+04   1.1 1.34e-01   4.9 1.00e+00 1.00e+00f  1
 303r-1.0710753e+02 3.07e+06 2.50e+05   1.1 1.33e-01   6.3 1.00e+00 1.00e+00h  1
 304r-1.0710740e+02 3.07e+06 8.32e+04   1.1 1.33e-01   5.8 1.00e+00 1.00e+00f  1
 305r-1.0710747e+02 3.07e+06 2.77e+04   1.1 1.33e-01   5.3 5.06e-01 1.00e+00f  1
 306r-1.0710737e+02 3.07e+06 5.92e+04   1.1 1.33e-01   5.7 1.00e+00 6.86e-01f  1
 307r-1.0710743e+02 3.07e+06 1.99e+04  -0.1 9.07e-02   5.3 1.00e+00 9.29e-01f  1
 308r-1.0710734e+02 3.07e+06 1.40e+04   0.2 1.26e-01   4.8 1.00e+00 4.91e-01f  1
 309r-1.0710707e+02 3.07e+06 3.02e+04  -0.0 1.10e-01   4.3 1.00e+00 6.17e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 310r-1.0710682e+02 3.07e+06 2.46e+04  -0.3 2.02e-01   3.8 1.00e+00 1.86e-01f  1
 311r-1.0710558e+02 3.07e+06 1.69e+04  -0.6 6.05e-01   3.4 1.00e+00 3.03e-01f  1
 312r-1.0710539e+02 3.07e+06 5.79e+05   1.6 6.54e-02   6.5 3.78e-01 1.00e+00f  1
 313r-1.0710551e+02 3.07e+06 1.04e+06   1.9 1.25e-01   6.9 8.72e-01 1.00e+00f  1
 314r-1.0710540e+02 3.07e+06 3.37e+05   1.9 1.25e-01   6.4 1.00e+00 1.00e+00f  1
 315r-1.0710549e+02 3.07e+06 9.19e+05   1.9 1.24e-01   6.9 1.00e+00 1.00e+00f  1
 316r-1.0710539e+02 3.07e+06 3.06e+05   1.9 1.24e-01   6.4 1.00e+00 1.00e+00f  1
 317r-1.0710543e+02 3.07e+06 1.02e+05   1.9 1.24e-01   5.9 1.00e+00 1.00e+00f  1
 318r-1.0710534e+02 3.07e+06 2.16e+06   1.9 1.24e-01   7.2 1.00e+00 1.00e+00f  1
 319r-1.0710543e+02 3.07e+06 7.20e+05   1.9 1.23e-01   6.8 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 320r-1.0710533e+02 3.07e+06 2.40e+05   1.9 1.23e-01   6.3 1.00e+00 1.00e+00f  1
 321r-1.0710537e+02 3.07e+06 8.00e+04   1.9 1.23e-01   5.8 1.00e+00 1.00e+00f  1
 322r-1.0710528e+02 3.07e+06 1.69e+06   1.9 1.22e-01   7.1 1.00e+00 1.00e+00f  1
 323r-1.0710536e+02 3.07e+06 5.64e+05   1.9 1.22e-01   6.7 1.00e+00 1.00e+00f  1
 324r-1.0710526e+02 3.07e+06 1.88e+05   1.9 1.22e-01   6.2 1.00e+00 1.00e+00f  1
 325r-1.0710531e+02 3.07e+06 6.27e+04   1.9 1.22e-01   5.7 1.00e+00 1.00e+00f  1
 326r-1.0710522e+02 3.07e+06 1.33e+06   1.9 1.21e-01   7.0 1.00e+00 1.00e+00f  1
 327r-1.0710530e+02 3.07e+06 4.42e+05   1.9 1.21e-01   6.6 1.00e+00 1.00e+00f  1
 328r-1.0710520e+02 3.07e+06 1.47e+05   1.9 1.21e-01   6.1 1.00e+00 1.00e+00f  1
 329r-1.0710523e+02 3.07e+06 4.91e+04   1.9 1.21e-01   5.6 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 330r-1.0710515e+02 3.07e+06 1.04e+06   1.9 1.20e-01   6.9 1.00e+00 1.00e+00f  1
 331r-1.0710523e+02 3.07e+06 3.46e+05   1.9 1.20e-01   6.5 1.00e+00 1.00e+00f  1
 332r-1.0710512e+02 3.07e+06 1.15e+05   1.9 1.20e-01   6.0 1.00e+00 1.00e+00f  1
 333r-1.0710515e+02 3.07e+06 3.85e+04   1.9 1.20e-01   5.5 1.00e+00 1.00e+00f  1
 334r-1.0710507e+02 3.07e+06 8.13e+05   1.9 1.19e-01   6.8 1.00e+00 1.00e+00f  1
 335r-1.0710515e+02 3.07e+06 2.71e+05   1.9 1.19e-01   6.4 1.00e+00 1.00e+00f  1
 336r-1.0710504e+02 3.07e+06 9.01e+04   1.9 1.19e-01   5.9 1.00e+00 1.00e+00f  1
 337r-1.0710507e+02 3.07e+06 3.02e+04   1.9 1.18e-01   5.4 1.00e+00 1.00e+00f  1
 338r-1.0710498e+02 3.07e+06 6.37e+05   1.9 1.18e-01   6.7 1.00e+00 1.00e+00f  1
 339r-1.0710505e+02 3.07e+06 2.12e+05   1.9 1.18e-01   6.3 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 340r-1.0710495e+02 3.07e+06 7.05e+04   1.9 1.18e-01   5.8 1.00e+00 1.00e+00f  1
 341r-1.0710496e+02 3.07e+06 2.36e+04   1.9 1.17e-01   5.3 1.00e+00 1.00e+00f  1
 342r-1.0710488e+02 3.07e+06 4.98e+05   1.9 1.17e-01   6.6 1.00e+00 1.00e+00f  1
 343r-1.0710495e+02 3.07e+06 1.66e+05   1.9 1.17e-01   6.2 1.00e+00 1.00e+00f  1
 344r-1.0710485e+02 3.07e+06 5.52e+04   1.9 1.16e-01   5.7 1.00e+00 1.00e+00f  1
 345r-1.0710485e+02 3.07e+06 1.85e+04   1.9 1.16e-01   5.2 1.00e+00 1.00e+00f  1
 346r-1.0710477e+02 3.07e+06 3.90e+05   1.9 1.16e-01   6.5 1.00e+00 1.00e+00f  1
 347r-1.0710483e+02 3.07e+06 1.30e+05   1.9 1.16e-01   6.0 1.00e+00 1.00e+00f  1
 348r-1.0710473e+02 3.07e+06 4.32e+04   1.9 1.15e-01   5.6 1.00e+00 1.00e+00f  1
 349r-1.0710471e+02 3.07e+06 1.45e+04   1.9 1.15e-01   5.1 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 350r-1.0710463e+02 3.07e+06 3.05e+05   1.9 1.15e-01   6.4 1.00e+00 1.00e+00f  1
 351r-1.0710469e+02 3.07e+06 1.02e+05   1.9 1.14e-01   5.9 1.00e+00 1.00e+00f  1
 352r-1.0710458e+02 3.07e+06 3.38e+04   1.9 1.14e-01   5.5 1.00e+00 1.00e+00f  1
 353r-1.0710455e+02 3.07e+06 1.14e+04   1.9 1.14e-01   5.0 1.00e+00 1.00e+00f  1
 354r-1.0710447e+02 3.07e+06 2.38e+05   1.9 1.13e-01   6.3 1.00e+00 1.00e+00f  1
 355r-1.0710453e+02 3.07e+06 7.94e+04   1.9 1.13e-01   5.8 1.00e+00 1.00e+00f  1
 356r-1.0710442e+02 3.07e+06 2.64e+04   1.9 1.13e-01   5.4 1.00e+00 1.00e+00f  1
 357r-1.0710436e+02 3.07e+06 8.92e+03   1.9 1.12e-01   4.9 1.00e+00 1.00e+00f  1
 358r-1.0710428e+02 3.07e+06 1.86e+05   1.9 1.12e-01   6.2 1.00e+00 1.00e+00f  1
 359r-1.0710434e+02 3.07e+06 6.20e+04   1.9 1.12e-01   5.7 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 360r-1.0710422e+02 3.07e+06 2.06e+04   1.9 1.11e-01   5.3 1.00e+00 1.00e+00f  1
 361r-1.0710426e+02 3.07e+06 5.48e+04   1.9 1.11e-01   5.7 1.00e+00 1.00e+00f  1
 362r-1.0710414e+02 3.07e+06 1.82e+04   1.9 1.11e-01   5.2 1.00e+00 1.00e+00f  1
 363r-1.0710404e+02 3.07e+06 6.20e+03   1.9 1.10e-01   4.7 1.00e+00 1.00e+00f  1
 364r-1.0710396e+02 3.07e+06 1.28e+05   1.9 1.10e-01   6.1 1.00e+00 1.00e+00f  1
 365r-1.0710401e+02 3.07e+06 4.28e+04   1.9 1.10e-01   5.6 1.00e+00 1.00e+00f  1
 366r-1.0710387e+02 3.07e+06 1.42e+04   1.9 1.09e-01   5.1 1.00e+00 1.00e+00f  1
 367r-1.0710373e+02 3.07e+06 4.85e+03   1.9 1.09e-01   4.6 1.00e+00 1.00e+00f  1
 368r-1.0710366e+02 3.07e+06 9.97e+04   1.2 1.08e-01   6.0 1.00e+00 1.00e+00f  1
 369r-1.0710372e+02 3.07e+06 3.32e+04   1.2 1.08e-01   5.5 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 370r-1.0710364e+02 3.07e+06 1.10e+04   1.2 1.08e-01   5.0 1.00e+00 1.00e+00f  1
 371r-1.0710363e+02 3.07e+06 3.71e+03   1.2 1.07e-01   4.5 1.00e+00 1.00e+00f  1
 372r-1.0710357e+02 3.07e+06 7.79e+04   1.2 1.07e-01   5.9 1.00e+00 1.00e+00f  1
 373r-1.0710362e+02 3.07e+06 2.60e+04   1.2 1.07e-01   5.4 1.00e+00 1.00e+00f  1
 374r-1.0710351e+02 3.07e+06 8.64e+03   1.2 1.07e-01   4.9 1.00e+00 1.00e+00f  1
 375r-1.0710355e+02 3.07e+06 2.30e+04   1.2 1.06e-01   5.3 1.00e+00 1.00e+00f  1
 376r-1.0710339e+02 3.07e+06 7.66e+03   1.2 1.06e-01   4.9 1.00e+00 1.00e+00f  1
 377r-1.0710310e+02 3.07e+06 2.66e+03   1.2 1.06e-01   4.4 1.00e+00 1.00e+00f  1
 378r-1.0710302e+02 3.07e+06 4.30e+05   1.2 1.05e-01   6.6 1.00e+00 1.00e+00h  1
 379r-1.0710309e+02 3.07e+06 1.43e+05   1.2 1.05e-01   6.1 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 380r-1.0710301e+02 3.07e+06 4.77e+04   1.2 1.05e-01   5.7 1.00e+00 1.00e+00f  1
 381r-1.0710306e+02 3.07e+06 1.01e+06   1.2 1.05e-01   7.0 1.00e+00 1.00e+00f  1
 382r-1.0710301e+02 3.07e+06 3.37e+05   1.2 1.04e-01   6.5 1.00e+00 1.00e+00h  1
 383r-1.0710305e+02 3.07e+06 1.12e+05   1.2 1.04e-01   6.0 1.00e+00 1.00e+00f  1
 384r-1.0710298e+02 3.07e+06 3.74e+04   1.2 1.04e-01   5.6 1.00e+00 1.00e+00f  1
 385r-1.0710302e+02 3.07e+06 9.94e+04   1.2 1.04e-01   6.0 1.00e+00 1.00e+00f  1
 386r-1.0710294e+02 3.07e+06 3.31e+04   1.2 1.04e-01   5.5 1.00e+00 1.00e+00f  1
