 # Free tf, opti t0 return transfer to EM-L2, from intersection free tf file
 # input file = Asteroid_Return_Intersection_d001_free_tf_t0Drift_50N.dat
 # Tmax, Isp =   5.0000000000000000e+01   3.7500000000000000e+02
 # qf =   1.1556819508396090e+00   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00
 # Structure : No t0_abs(d) q0_CR3BP m0 (kg) thetaSun |S| t0Drift(d) z_sol(1:12) mf
 # Data
1   7.3900809202568453e+03  -1.6645995924124463e-01   3.8881610671067879e+00  -3.2122657929792298e-03   3.8430600789772758e+00  -4.6870891025230490e+00  -5.2642616547474153e-03   7.8458393112072925e+04
		   4.7650852063309728e+00   5.0740022029487398e-12
		   -9.3102148437499945e+00  -9.2119348335607665e+00  -7.7510819247148947e+03  -1.0654985795724269e+02  -5.7544558456575521e+00   4.8740066775922726e+00
		   1.8669923233561370e-01  -2.7160456078173978e-01  -2.1855544958241459e-04   4.1650877707438599e-01   1.1629364290721179e-01   8.3098815827867023e-05  -1.7639423787234879e-04   2.3655682922167151e+04
2   7.0206738288013712e+03   1.5144610847027122e+00  -3.5839990870172596e+00   8.2908912771680776e-02  -3.2386914420310000e+00   8.9390420771022505e-01  -1.8797324382670566e-02   9.9996812375517053e+04
		   1.3251866428958929e+00   4.8910776242273104e-12
		   -2.0270500000000158e+01  -1.8505964004888199e+01  -1.6127504437466310e+04  -8.6920216867764816e+02   3.1996811953602040e+00   7.4912368523077006e+00
		   1.2479168771436860e-01  -3.4177617562459131e+00  -7.9741953911288029e-03   3.3465581939972968e+00   2.4882365337531431e-01  -3.0949362043567390e-03  -6.7191062613105822e-05   6.9056362872165439e+04
3   5.2721573140704604e+03  -1.9013596937257635e+00  -3.3956006296584884e+00   1.5601254236777606e-02   4.1981354239406521e-02   7.0355668485210714e+00  -3.8620688933584391e-03   8.7917360579829241e+04
		   9.4254848252169410e-01   2.6885442917612340e-10
		   -1.6121962890625081e+01  -1.2963086884780340e+01  -1.0565760923650730e+03  -2.4859656337277288e+03  -2.6316988663105350e+00   6.6011580787190658e+00
		   1.0839345133302489e+00   5.4988275982861233e-02  -1.3353381730316869e-04  -5.6026407530041462e-02   1.0567376219460400e+00  -8.8044697498998264e-04  -1.5246380241518341e-04   2.4608248093864491e+04
4   4.1820338682650472e+03  -3.8010255476682611e+00   8.2915353922169055e-01  -1.0111831593002182e-01   2.9002239746471252e+00   3.7789466337169495e+00   3.1330787647537023e-03   6.9097334866937294e+04
		   5.6375999735867586e+00   3.5692834545418491e-12
		   -7.6887792968749844e+00  -5.6184441037087360e+00  -9.6324444478610185e+03  -5.2839157076079046e+03   3.1882640245504690e+00   5.6501577657103814e+00
		  -2.2246877419071520e+00  -8.3570096258538673e-01   7.1838140379879480e-03   8.6456339529098392e-01  -2.2671956751316662e+00   4.3537279055649178e-02  -6.9474253968255937e-05   4.5942269102293278e+04
5   4.1203471724234978e+03  -3.8909411620666101e+00  -7.4883168834157687e-02   2.2025092329339802e-02   4.5830997502311996e+00   3.4500545710998347e+00   4.5705230563880539e-03   9.9998964812763094e+04
		   6.1577377644247377e+00   2.6436814124188070e-12
		   -9.9914648437500055e+00  -8.4748329684784753e+00  -1.6068177868245249e+02  -6.1220357035504358e+03  -5.3651317153487224e+00   5.5950713536140180e+00
		   1.0193036202922929e+00  -1.2789136158927981e+00  -4.5907094528181301e-04   1.2740223757035321e+00   1.0020503123856830e+00  -8.4780198478111562e-03  -1.3797965516636879e-04   3.6255067967600160e+04
6   6.0805445952552454e+03   3.4276390228131119e+00  -1.8427003576753012e+00   3.5522428605630436e-02  -4.3571326275957833e+00  -1.6450888230086722e+00   4.0232005166855392e-03   9.9999523921683678e+04
		   5.6119547206741842e+00   1.2186411006964830e-11
		   -1.7399375000000109e+01  -1.3911505754694430e+01  -2.7715712713276898e+04  -3.0082780529097239e+06  -8.3410435796974856e+00   4.4046565632489623e+00
		   4.9858551587750732e-01  -1.2019441801511120e-01   1.0299806927250309e-02   1.8131031468615411e-01   4.6209464006024242e-01   1.3106506138699689e-01  -1.8760684307134510e-04   1.7062546944863381e+04
7   8.1972224188158907e+03   3.3230902481627194e+00   2.0240660678755162e+00  -7.5785720753708846e-02  -3.3953772181718955e-01  -4.0300444093342911e+00   6.3234940644748966e-03   7.4782304495414050e+04
		   3.4355223804293331e+00   2.4009165698152338e-12
